owner,ym,genre,plays,minutes
Or,2023-05,World/Israeli,69,178.2
Or,2023-05,Israeli Rock,51,117.6
Or,2023-05,Indie/Alt Pop,46,115.2
Or,2023-05,Alternative Rock,33,71.5
Or,2023-05,R&B/Soul,33,54.1
Or,2023-05,Rock,33,84.4
Or,2023-05,Soundtrack,8,19.8
Or,2023-05,Electronic/Dance,6,8.8
Or,2023-05,K/J-Pop,3,2.8
Or,2023-05,Mizrahi,3,6.3
Or,2023-05,Hip-Hop,2,6.7
Or,2023-06,Other,295,589.0
Or,2023-06,Pop,162,348.2
Or,2023-06,Pop Rock,127,211.3
Or,2023-06,Israeli Pop,84,169.4
Or,2023-06,World/Israeli,68,129.6
Or,2023-06,Alternative Rock,31,69.4
Or,2023-06,R&B/Soul,26,54.0
Or,2023-06,Israeli Rock,25,59.7
Or,2023-06,Indie/Alt Pop,23,54.9
Or,2023-06,Rock,20,65.9
Or,2023-06,Mizrahi,10,14.3
Or,2023-06,Soundtrack,10,27.3
Or,2023-06,K/J-Pop,6,6.1
Or,2023-06,Electronic/Dance,4,9.9
Or,2023-06,Hip-Hop,3,7.9
Or,2023-07,Other,202,437.4
Or,2023-07,Pop,142,279.3
Or,2023-07,Pop Rock,128,241.0
Or,2023-07,Israeli Pop,90,188.4
Or,2023-07,Israeli Rock,36,83.5
Or,2023-07,Alternative Rock,29,66.4
Or,2023-07,World/Israeli,28,89.3
Or,2023-07,Indie/Alt Pop,25,75.5
Or,2023-07,R&B/Soul,15,29.9
Or,2023-07,Rock,10,39.7
Or,2023-07,Mizrahi,4,8.0
Or,2023-07,Soundtrack,4,8.0
Or,2023-07,K/J-Pop,3,3.4
Or,2023-07,Hip-Hop,2,7.9
Or,2023-07,Electronic/Dance,1,3.2
Or,2023-08,Pop Rock,381,760.9
Or,2023-08,Other,300,641.0
Or,2023-08,Pop,119,258.4
Or,2023-08,Israeli Pop,91,140.4
Or,2023-08,Israeli Rock,61,113.4
Or,2023-08,World/Israeli,55,106.9
Or,2023-08,Alternative Rock,33,60.5
Or,2023-08,R&B/Soul,23,46.5
Or,2023-08,Indie/Alt Pop,20,49.2
Or,2023-08,Rock,20,55.9
Or,2023-08,K/J-Pop,3,0.2
Or,2023-08,Mizrahi,3,5.7
Or,2023-08,Soundtrack,3,13.9
Or,2023-08,Electronic/Dance,2,4.0
Or,2023-08,Hip-Hop,1,4.3
Or,2023-09,Other,359,726.7
Or,2023-09,Pop Rock,273,711.0
Or,2023-09,Pop,107,199.5
Or,2023-09,Israeli Pop,84,136.1
Or,2023-09,Alternative Rock,39,58.2
Or,2023-09,Israeli Rock,38,72.3
Or,2023-09,Indie/Alt Pop,32,50.4
Or,2023-09,World/Israeli,23,51.2
Or,2023-09,Rock,12,27.7
Or,2023-09,R&B/Soul,10,31.0
Or,2023-09,Soundtrack,10,19.4
Or,2023-09,Hip-Hop,4,9.0
Or,2023-09,K/J-Pop,3,0.5
Or,2023-09,Mizrahi,3,8.3
Or,2023-09,Electronic/Dance,1,3.2
Or,2023-10,Other,175,386.7
Or,2023-10,Pop Rock,164,365.3
Or,2023-10,Pop,110,223.2
Or,2023-10,Israeli Pop,68,134.5
Or,2023-10,Indie/Alt Pop,28,63.3
Or,2023-10,World/Israeli,27,80.9
Or,2023-10,Alternative Rock,21,38.5
Or,2023-10,Israeli Rock,19,47.7
Or,2023-10,R&B/Soul,19,36.6
Or,2023-10,Rock,17,52.6
Or,2023-10,Soundtrack,7,15.2
Or,2023-10,Electronic/Dance,5,7.0
Or,2023-10,Mizrahi,4,8.3
Or,2023-10,Hip-Hop,2,4.3
Or,2023-10,K/J-Pop,1,0.1
Or,2023-11,Other,288,601.9
Or,2023-11,Pop,238,537.7
Or,2023-11,Pop Rock,237,535.8
Or,2023-11,Israeli Pop,106,203.3
Or,2023-11,Israeli Rock,61,131.5
Or,2023-11,World/Israeli,58,171.2
Or,2023-11,Indie/Alt Pop,42,114.1
Or,2023-11,R&B/Soul,32,67.1
Or,2023-11,Alternative Rock,30,64.7
Or,2023-11,Rock,24,65.0
Or,2023-11,Electronic/Dance,7,10.0
Or,2023-11,Soundtrack,7,16.5
Or,2023-11,Hip-Hop,4,12.3
Or,2023-11,K/J-Pop,3,4.1
Or,2023-11,Mizrahi,3,0.0
Or,2023-12,Other,337,628.2
Or,2023-12,Pop Rock,270,610.6
Or,2023-12,Pop,204,400.2
Or,2023-12,Israeli Pop,88,163.7
Or,2023-12,Israeli Rock,72,136.7
Or,2023-12,Indie/Alt Pop,63,99.4
Or,2023-12,World/Israeli,53,106.5
Or,2023-12,Alternative Rock,35,51.9
Or,2023-12,R&B/Soul,35,65.6
Or,2023-12,Rock,27,55.6
Or,2023-12,Mizrahi,6,9.9
Or,2023-12,Soundtrack,6,16.4
Or,2023-12,Electronic/Dance,3,3.7
Or,2023-12,Hip-Hop,3,4.6
Or,2023-12,K/J-Pop,1,3.3
Or,2024-01,Pop,277,700.9
Or,2024-01,Other,256,557.5
Or,2024-01,Pop Rock,187,449.0
Or,2024-01,Israeli Pop,70,115.7
Or,2024-01,Israeli Rock,41,72.5
Or,2024-01,Indie/Alt Pop,39,86.4
Or,2024-01,World/Israeli,38,74.0
Or,2024-01,Alternative Rock,34,74.9
Or,2024-01,Rock,22,57.4
Or,2024-01,R&B/Soul,16,36.8
Or,2024-01,Hip-Hop,5,8.2
Or,2024-01,Mizrahi,4,5.9
Or,2024-01,Soundtrack,3,8.1
Or,2024-01,Electronic/Dance,1,0.0
Or,2024-01,K/J-Pop,1,0.0
Or,2024-02,Other,223,452.1
Or,2024-02,Pop Rock,133,237.0
Or,2024-02,Pop,116,253.6
Or,2024-02,Israeli Pop,53,71.9
Or,2024-02,Indie/Alt Pop,48,93.9
Or,2024-02,Israeli Rock,35,65.4
Or,2024-02,World/Israeli,25,51.8
Or,2024-02,Rock,19,23.4
Or,2024-02,Mizrahi,17,13.9
Or,2024-02,R&B/Soul,7,16.0
Or,2024-02,Soundtrack,6,6.8
Or,2024-02,Alternative Rock,4,9.2
Or,2024-02,K/J-Pop,2,2.8
Or,2024-02,Hip-Hop,1,0.1
Or,2024-03,Other,268,363.2
Or,2024-03,Pop,202,335.2
Or,2024-03,Pop Rock,150,260.8
Or,2024-03,Israeli Pop,62,62.4
Or,2024-03,Indie/Alt Pop,42,72.9
Or,2024-03,World/Israeli,41,49.5
Or,2024-03,Israeli Rock,36,47.5
Or,2024-03,Alternative Rock,33,36.8
Or,2024-03,R&B/Soul,31,50.2
Or,2024-03,Rock,30,56.2
Or,2024-03,Soundtrack,11,13.7
Or,2024-03,K/J-Pop,4,1.7
Or,2024-03,Mizrahi,3,0.4
Or,2024-03,Electronic/Dance,2,0.9
Or,2024-03,Hip-Hop,1,2.3
Or,2024-04,Pop,240,483.7
Or,2024-04,Other,207,326.7
Or,2024-04,Pop Rock,162,243.2
Or,2024-04,Israeli Pop,62,50.9
Or,2024-04,Israeli Rock,46,48.6
Or,2024-04,Indie/Alt Pop,44,64.8
Or,2024-04,World/Israeli,42,69.6
Or,2024-04,R&B/Soul,28,25.7
Or,2024-04,Alternative Rock,23,13.8
Or,2024-04,Rock,21,38.2
Or,2024-04,Electronic/Dance,6,9.9
Or,2024-04,Mizrahi,5,0.1
Or,2024-04,Soundtrack,5,7.8
Or,2024-04,Hip-Hop,3,0.1
Or,2024-04,K/J-Pop,2,0.0
Or,2024-05,Other,467,690.5
Or,2024-05,Pop Rock,337,694.5
Or,2024-05,Pop,270,508.4
Or,2024-05,Israeli Pop,82,146.2
Or,2024-05,World/Israeli,66,137.1
Or,2024-05,Israeli Rock,49,94.0
Or,2024-05,Indie/Alt Pop,41,87.7
Or,2024-05,Rock,32,41.3
Or,2024-05,Alternative Rock,31,29.7
Or,2024-05,R&B/Soul,26,48.1
Or,2024-05,Mizrahi,6,7.2
Or,2024-05,Electronic/Dance,5,6.5
Or,2024-05,Soundtrack,3,9.8
Or,2024-05,K/J-Pop,2,3.2
Or,2024-05,Hip-Hop,1,0.0
Or,2024-06,Pop Rock,390,847.6
Or,2024-06,Other,326,662.8
Or,2024-06,Pop,303,728.5
Or,2024-06,Israeli Pop,106,213.2
Or,2024-06,World/Israeli,61,145.7
Or,2024-06,Indie/Alt Pop,49,92.9
Or,2024-06,Israeli Rock,46,77.6
Or,2024-06,R&B/Soul,36,73.7
Or,2024-06,Alternative Rock,28,39.1
Or,2024-06,Rock,26,47.4
Or,2024-06,Electronic/Dance,11,20.7
Or,2024-06,Soundtrack,9,14.3
Or,2024-06,K/J-Pop,8,12.1
Or,2024-06,Mizrahi,7,7.6
Or,2024-07,Pop,287,676.8
Or,2024-07,Pop Rock,202,454.5
Or,2024-07,Other,157,335.5
Or,2024-07,Israeli Pop,42,85.0
Or,2024-07,Indie/Alt Pop,36,67.6
Or,2024-07,World/Israeli,35,64.1
Or,2024-07,Israeli Rock,31,59.1
Or,2024-07,Rock,27,33.6
Or,2024-07,Alternative Rock,26,37.4
Or,2024-07,R&B/Soul,21,33.5
Or,2024-07,Electronic/Dance,8,13.4
Or,2024-07,Mizrahi,1,0.0
Or,2024-07,Soundtrack,1,5.2
Or,2024-08,Pop Rock,207,439.7
Or,2024-08,Pop,173,412.5
Or,2024-08,Other,150,277.4
Or,2024-08,World/Israeli,48,84.3
Or,2024-08,Israeli Rock,43,65.8
Or,2024-08,Israeli Pop,40,58.7
Or,2024-08,Indie/Alt Pop,35,83.3
Or,2024-08,Alternative Rock,19,32.0
Or,2024-08,Soundtrack,16,25.7
Or,2024-08,Rock,15,37.4
Or,2024-08,R&B/Soul,11,18.5
Or,2024-08,Electronic/Dance,1,3.2
Or,2024-08,Hip-Hop,1,0.0
Or,2024-08,Mizrahi,1,1.4
Or,2024-09,Other,183,375.1
Or,2024-09,Pop,157,416.8
Or,2024-09,Pop Rock,153,304.2
Or,2024-09,Israeli Pop,42,71.5
Or,2024-09,Indie/Alt Pop,26,55.1
Or,2024-09,Rock,16,33.3
Or,2024-09,Israeli Rock,15,34.3
Or,2024-09,World/Israeli,14,33.7
Or,2024-09,Alternative Rock,12,17.5
Or,2024-09,R&B/Soul,9,21.3
Or,2024-09,Electronic/Dance,3,6.5
Or,2024-09,Soundtrack,3,9.1
Or,2024-09,Mizrahi,2,5.9
Or,2024-10,Pop Rock,130,280.5
Or,2024-10,Other,108,233.1
Or,2024-10,Pop,84,172.3
Or,2024-10,Israeli Pop,30,38.2
Or,2024-10,Israeli Rock,18,32.5
Or,2024-10,Indie/Alt Pop,11,28.4
Or,2024-10,Alternative Rock,10,18.6
Or,2024-10,World/Israeli,10,18.7
Or,2024-10,R&B/Soul,8,23.2
Or,2024-10,Rock,8,20.4
Or,2024-10,Soundtrack,7,15.5
Or,2024-10,Singer-Songwriter,1,2.8
Or,2024-11,Pop,269,657.6
Or,2024-11,Other,227,495.6
Or,2024-11,Pop Rock,220,431.7
Or,2024-11,Israeli Pop,48,78.8
Or,2024-11,Indie/Alt Pop,43,100.5
Or,2024-11,Israeli Rock,33,61.3
Or,2024-11,World/Israeli,33,87.9
Or,2024-11,Alternative Rock,27,42.0
Or,2024-11,R&B/Soul,20,41.9
Or,2024-11,Singer-Songwriter,17,18.9
Or,2024-11,Rock,16,39.7
Or,2024-11,Soundtrack,14,30.2
Or,2024-11,Electronic/Dance,3,0.0
Or,2024-11,Hip-Hop,1,3.6
Or,2024-12,Other,242,580.0
Or,2024-12,Pop,210,549.8
Or,2024-12,Pop Rock,201,480.5
Or,2024-12,Israeli Pop,46,90.0
Or,2024-12,World/Israeli,36,111.3
Or,2024-12,Indie/Alt Pop,34,76.7
Or,2024-12,Israeli Rock,33,75.7
Or,2024-12,Alternative Rock,32,58.3
Or,2024-12,R&B/Soul,17,46.7
Or,2024-12,Rock,16,38.2
Or,2024-12,Electronic/Dance,7,20.6
Or,2024-12,Soundtrack,3,9.8
Or,2024-12,Mizrahi,2,5.2
Or,2024-12,Hip-Hop,1,1.0
Or,2025-01,Other,290,745.8
Or,2025-01,Pop,216,591.1
Or,2025-01,Pop Rock,198,458.5
Or,2025-01,Israeli Pop,57,138.1
Or,2025-01,Indie/Alt Pop,46,89.2
Or,2025-01,Israeli Rock,46,103.4
Or,2025-01,R&B/Soul,30,64.9
Or,2025-01,Alternative Rock,29,72.0
Or,2025-01,World/Israeli,26,77.8
Or,2025-01,Rock,13,36.4
Or,2025-01,Soundtrack,11,26.2
Or,2025-01,Electronic/Dance,8,15.8
Or,2025-01,Hip-Hop,4,15.0
Or,2025-01,Mizrahi,4,3.6
Or,2025-01,Singer-Songwriter,2,8.0
Or,2025-02,Other,98,206.3
Or,2025-02,Pop Rock,76,161.6
Or,2025-02,Pop,61,186.6
Or,2025-02,Israeli Pop,22,47.4
Or,2025-02,Indie/Alt Pop,21,43.1
Or,2025-02,World/Israeli,16,48.3
Or,2025-02,Alternative Rock,13,26.3
Or,2025-02,Israeli Rock,10,34.3
Or,2025-02,R&B/Soul,6,11.8
Or,2025-02,Rock,5,13.1
Or,2025-02,Hip-Hop,1,0.3
Or,2025-02,Soundtrack,1,3.3
Or,2025-03,Other,143,304.8
Or,2025-03,Pop,101,260.0
Or,2025-03,Pop Rock,96,174.6
Or,2025-03,Israeli Pop,28,40.2
Or,2025-03,World/Israeli,21,32.7
Or,2025-03,Israeli Rock,16,29.0
Or,2025-03,Alternative Rock,14,15.3
Or,2025-03,Rock,11,25.4
Or,2025-03,Indie/Alt Pop,10,20.3
Or,2025-03,R&B/Soul,7,20.1
Or,2025-03,Soundtrack,3,4.7
Or,2025-03,Electronic/Dance,2,0.0
Or,2025-03,Mizrahi,1,0.0
Or,2025-04,Other,182,333.7
Or,2025-04,Pop,134,337.7
Or,2025-04,Pop Rock,125,318.2
Or,2025-04,Israeli Pop,29,73.4
Or,2025-04,Alternative Rock,24,40.7
Or,2025-04,World/Israeli,20,63.2
Or,2025-04,Indie/Alt Pop,18,38.3
Or,2025-04,Israeli Rock,13,40.2
Or,2025-04,R&B/Soul,10,22.7
Or,2025-04,Rock,7,10.3
Or,2025-04,Electronic/Dance,4,9.1
Or,2025-04,Soundtrack,3,4.9
Or,2025-04,Hip-Hop,1,1.1
Or,2025-04,Mizrahi,1,0.9
Or,2025-05,Other,253,590.1
Or,2025-05,Pop,165,389.2
Or,2025-05,Pop Rock,156,336.8
Or,2025-05,Israeli Pop,36,75.0
Or,2025-05,World/Israeli,35,65.0
Or,2025-05,Alternative Rock,22,54.1
Or,2025-05,Indie/Alt Pop,22,35.6
Or,2025-05,Israeli Rock,21,56.7
Or,2025-05,Rock,17,34.2
Or,2025-05,R&B/Soul,14,35.3
Or,2025-05,Soundtrack,7,15.1
Or,2025-05,Electronic/Dance,4,3.7
Or,2025-05,Mizrahi,3,4.1
Or,2025-05,Singer-Songwriter,2,4.1
Or,2025-06,Pop,140,385.2
Or,2025-06,Other,131,272.3
Or,2025-06,Pop Rock,117,210.3
Or,2025-06,Israeli Pop,29,68.5
Or,2025-06,World/Israeli,25,62.2
Or,2025-06,Israeli Rock,23,45.0
Or,2025-06,Indie/Alt Pop,14,16.0
Or,2025-06,Rock,13,24.4
Or,2025-06,R&B/Soul,11,12.8
Or,2025-06,Alternative Rock,9,21.2
Or,2025-06,Soundtrack,2,8.7
Or,2025-06,Electronic/Dance,1,3.1
Or,2025-06,Hip-Hop,1,3.6
Or,2025-07,Other,270,592.7
Or,2025-07,Pop Rock,198,428.2
Or,2025-07,Pop,184,501.5
Or,2025-07,Israeli Pop,45,89.7
Or,2025-07,Israeli Rock,38,65.1
Or,2025-07,World/Israeli,31,91.2
Or,2025-07,Alternative Rock,24,65.9
Or,2025-07,Indie/Alt Pop,24,34.5
Or,2025-07,Rock,23,46.7
Or,2025-07,R&B/Soul,20,32.0
Or,2025-07,Electronic/Dance,7,16.7
Or,2025-07,Soundtrack,4,16.8
Or,2025-07,Hip-Hop,1,0.2
Or,2025-08,Other,203,429.0
Or,2025-08,Pop,70,192.7
Or,2025-08,Pop Rock,69,123.9
Or,2025-08,Alternative Rock,20,50.4
Or,2025-08,Israeli Pop,12,26.4
Or,2025-08,Indie/Alt Pop,11,16.3
Or,2025-08,Israeli Rock,9,22.0
Or,2025-08,World/Israeli,9,32.3
Or,2025-08,R&B/Soul,5,13.4
Or,2025-08,Rock,5,11.0
Or,2025-08,Singer-Songwriter,2,8.2
Or,2025-08,Soundtrack,2,3.3
Or,2025-08,Hip-Hop,1,3.6
Or,2025-08,Mizrahi,1,3.5
Or,2025-09,Other,276,613.6
Or,2025-09,Pop Rock,162,234.0
Or,2025-09,Pop,140,372.1
Or,2025-09,Israeli Pop,40,75.5
Or,2025-09,Indie/Alt Pop,31,63.6
Or,2025-09,Israeli Rock,30,50.6
Or,2025-09,World/Israeli,29,82.7
Or,2025-09,Alternative Rock,26,45.4
Or,2025-09,R&B/Soul,22,53.7
Or,2025-09,Rock,14,19.7
Or,2025-09,Electronic/Dance,4,7.0
Or,2025-09,Soundtrack,4,8.4
Or,2025-09,Singer-Songwriter,1,4.1
Or,2025-10,Other,317,656.5
Or,2025-10,Pop,82,197.2
Or,2025-10,Pop Rock,69,119.4
Or,2025-10,Israeli Pop,21,31.4
Or,2025-10,Alternative Rock,18,27.2
Or,2025-10,World/Israeli,13,29.8
Or,2025-10,R&B/Soul,11,26.5
Or,2025-10,Israeli Rock,10,17.2
Or,2025-10,Indie/Alt Pop,9,18.9
Or,2025-10,Rock,5,15.0
Or,2025-10,Mizrahi,3,3.5
Or,2025-10,Singer-Songwriter,2,4.5
Or,2025-10,Electronic/Dance,1,3.4
Or,2025-10,Hip-Hop,1,3.6
Or,2025-10,Soundtrack,1,4.6
Or,2025-11,Other,294,598.3
Or,2025-11,Pop,167,442.6
Or,2025-11,Pop Rock,147,203.9
Or,2025-11,Israeli Pop,39,67.3
Or,2025-11,World/Israeli,38,65.6
Or,2025-11,Israeli Rock,30,57.1
Or,2025-11,Indie/Alt Pop,28,62.2
Or,2025-11,R&B/Soul,27,46.3
Or,2025-11,Alternative Rock,21,32.4
Or,2025-11,Soundtrack,12,25.1
Or,2025-11,Rock,11,18.5
Or,2025-11,Electronic/Dance,4,6.9
Or,2025-11,Mizrahi,1,0.3
Or,2025-12,Other,266,577.9
Or,2025-12,Pop,141,341.9
Or,2025-12,Pop Rock,113,174.5
Or,2025-12,Israeli Pop,24,32.7
Or,2025-12,World/Israeli,23,35.2
Or,2025-12,Israeli Rock,20,41.1
Or,2025-12,Indie/Alt Pop,16,15.3
Or,2025-12,Alternative Rock,14,25.9
Or,2025-12,Singer-Songwriter,14,44.6
Or,2025-12,Rock,12,25.5
Or,2025-12,R&B/Soul,10,29.3
Or,2025-12,Electronic/Dance,3,5.3
Or,2025-12,Mizrahi,3,5.4
Or,2025-12,Soundtrack,2,9.8
Or,2026-01,Other,300,460.0
Or,2026-01,Pop,110,291.0
Or,2026-01,Pop Rock,104,126.9
Or,2026-01,Israeli Rock,25,43.2
Or,2026-01,Israeli Pop,21,21.4
Or,2026-01,World/Israeli,18,35.8
Or,2026-01,Indie/Alt Pop,16,35.2
Or,2026-01,Rock,15,38.5
Or,2026-01,Alternative Rock,12,32.8
Or,2026-01,R&B/Soul,11,29.5
Or,2026-01,Soundtrack,11,18.4
Or,2026-01,Electronic/Dance,6,6.5
Or,2026-01,Singer-Songwriter,5,13.1
Or,2026-01,Hip-Hop,1,0.1
Or,2026-01,Mizrahi,1,3.6
Or,2026-02,Other,218,424.9
Or,2026-02,Pop,174,425.1
Or,2026-02,Pop Rock,158,211.3
Or,2026-02,Israeli Pop,51,79.1
Or,2026-02,World/Israeli,41,68.9
Or,2026-02,Israeli Rock,34,65.9
Or,2026-02,Indie/Alt Pop,29,43.0
Or,2026-02,Rock,23,49.4
Or,2026-02,Alternative Rock,22,36.3
Or,2026-02,R&B/Soul,18,32.3
Or,2026-02,Singer-Songwriter,10,30.6
Or,2026-02,Soundtrack,8,16.4
Or,2026-02,Electronic/Dance,4,0.5
Or,2026-02,Mizrahi,1,0.3
Or,2026-03,Other,122,275.1
Or,2026-03,Pop,55,141.3
Or,2026-03,Pop Rock,37,51.7
Or,2026-03,Israeli Pop,8,14.6
Or,2026-03,Indie/Alt Pop,7,6.7
Or,2026-03,Alternative Rock,6,6.1
Or,2026-03,Israeli Rock,6,5.3
Or,2026-03,R&B/Soul,6,5.9
Or,2026-03,World/Israeli,5,10.5
Or,2026-03,Rock,4,12.5
Or,2026-03,Electronic/Dance,1,0.0
Or,2026-04,Other,408,679.8
Or,2026-04,Pop,299,613.3
Or,2026-04,Pop Rock,152,133.6
Or,2026-04,World/Israeli,39,57.7
Or,2026-04,Indie/Alt Pop,34,42.6
Or,2026-04,Israeli Pop,33,55.1
Or,2026-04,Alternative Rock,26,31.9
Or,2026-04,Israeli Rock,24,41.1
Or,2026-04,R&B/Soul,14,20.7
Or,2026-04,Rock,10,29.1
Or,2026-04,Hip-Hop,8,7.7
Or,2026-04,Singer-Songwriter,7,15.8
Or,2026-04,Electronic/Dance,4,7.7
Or,2026-04,Mizrahi,3,1.9
Or,2026-04,Soundtrack,3,9.4
Or,2026-05,Other,425,778.2
Or,2026-05,Pop,239,533.8
Or,2026-05,Pop Rock,221,262.8
Or,2026-05,Israeli Pop,66,90.7
Or,2026-05,World/Israeli,61,94.8
Or,2026-05,Israeli Rock,49,78.8
Or,2026-05,Alternative Rock,37,51.4
Or,2026-05,Indie/Alt Pop,37,57.2
Or,2026-05,R&B/Soul,30,43.5
Or,2026-05,Rock,14,27.3
Or,2026-05,Soundtrack,14,35.9
Or,2026-05,Singer-Songwriter,8,4.5
Or,2026-05,Electronic/Dance,4,3.3
Or,2026-05,Hip-Hop,1,3.6
Or,2026-05,Mizrahi,1,0.0
Roman,2019-09,Other,706,591.9
Roman,2019-09,Pop,82,64.5
Roman,2019-09,Hip-Hop,47,12.4
Roman,2019-09,Pop Rock,25,20.8
Roman,2019-09,Mizrahi,7,0.1
Roman,2019-09,R&B/Soul,6,0.0
Roman,2019-09,Israeli Pop,3,0.0
Roman,2019-09,Indie/Alt Pop,2,0.2
Roman,2019-09,Latin,2,4.2
Roman,2019-09,Rock,2,0.0
Roman,2019-09,Nu Metal,1,0.0
Roman,2019-09,World/Israeli,1,0.0
Roman,2019-10,Other,368,373.7
Roman,2019-10,Pop,25,27.8
Roman,2019-10,Pop Rock,25,24.1
Roman,2019-10,Hip-Hop,9,8.1
Roman,2019-10,K/J-Pop,4,3.8
Roman,2019-10,Indie/Alt Pop,1,0.0
Roman,2019-11,Other,118,114.9
Roman,2019-11,Pop Rock,19,8.4
Roman,2019-11,Pop,11,9.4
Roman,2020-04,Other,2,0.7
Roman,2020-05,Other,158,216.7
Roman,2020-05,Pop,35,68.6
Roman,2020-05,Rock,23,62.1
Roman,2020-05,Pop Rock,16,36.4
Roman,2020-05,Hip-Hop,2,0.1
Roman,2020-06,Other,185,252.5
Roman,2020-06,Rock,113,245.5
Roman,2020-06,Pop,78,140.9
Roman,2020-06,Pop Rock,13,20.2
Roman,2020-06,Hip-Hop,2,0.2
Roman,2020-07,Rock,294,536.5
Roman,2020-07,Other,145,192.7
Roman,2020-07,Pop,50,83.6
Roman,2020-07,Pop Rock,2,1.7
Roman,2020-07,Hip-Hop,1,0.1
Roman,2020-08,Rock,431,520.3
Roman,2020-08,Other,207,126.1
Roman,2020-08,Pop,45,82.5
Roman,2020-09,Rock,251,352.2
Roman,2020-09,Other,158,174.5
Roman,2020-09,Pop,41,77.9
Roman,2020-09,Pop Rock,4,0.2
Roman,2020-11,Post-Grunge,258,554.6
Roman,2020-11,Other,22,27.4
Roman,2020-11,Rock,13,26.8
Roman,2020-11,Metal,1,0.0
Roman,2020-11,Pop,1,0.0
Roman,2020-12,Post-Grunge,163,470.2
Roman,2020-12,Other,121,247.2
Roman,2020-12,Rock,9,30.0
Roman,2021-01,Metalcore,217,448.1
Roman,2021-01,Other,183,343.9
Roman,2021-01,Rock,11,25.8
Roman,2021-01,Pop,8,14.1
Roman,2021-01,Post-Grunge,8,11.8
Roman,2021-01,Latin,2,6.8
Roman,2021-01,Pop Rock,2,2.7
Roman,2021-02,Post-Grunge,247,367.7
Roman,2021-02,Other,79,138.2
Roman,2021-02,Metalcore,66,143.2
Roman,2021-02,Rock,1,0.0
Roman,2021-03,Other,26,55.1
Roman,2021-03,Post-Grunge,22,37.3
Roman,2021-03,Metalcore,11,11.6
Roman,2021-04,Post-Grunge,326,940.1
Roman,2021-04,Other,94,163.3
Roman,2021-04,Nu Metal,12,18.0
Roman,2021-04,Metalcore,4,5.8
Roman,2021-04,Hard Rock,1,0.0
Roman,2021-04,Metal,1,3.9
Roman,2021-05,Other,645,857.7
Roman,2021-05,Post-Grunge,274,478.4
Roman,2021-05,Rock,21,14.3
Roman,2021-05,Metalcore,10,6.2
Roman,2021-05,Nu Metal,10,0.2
Roman,2021-05,Hard Rock,3,3.1
Roman,2021-05,Metal,3,0.0
Roman,2021-05,Pop,1,0.2
Roman,2021-06,Post-Grunge,1020,2016.0
Roman,2021-06,Other,628,1168.3
Roman,2021-06,Rock,61,151.9
Roman,2021-06,Metalcore,14,9.2
Roman,2021-06,Hard Rock,3,0.9
Roman,2021-06,Pop,1,1.2
Roman,2021-07,Post-Grunge,825,1434.4
Roman,2021-07,Other,581,1027.1
Roman,2021-07,Nu Metal,115,147.7
Roman,2021-07,Rock,77,154.4
Roman,2021-07,Hard Rock,46,120.0
Roman,2021-07,Metalcore,16,10.2
Roman,2021-07,Metal,6,9.8
Roman,2021-08,Other,436,1128.8
Roman,2021-08,Post-Grunge,54,133.0
Roman,2021-08,Rock,53,214.7
Roman,2021-08,Metalcore,10,19.9
Roman,2021-08,Nu Metal,8,15.5
Roman,2021-08,Metal,2,9.0
Roman,2021-08,Pop Rock,2,2.9
Roman,2021-08,Hip-Hop,1,0.2
Roman,2021-09,Other,1315,2815.7
Roman,2021-09,Metal,611,2067.5
Roman,2021-09,Post-Grunge,174,416.7
Roman,2021-09,Rock,101,370.0
Roman,2021-09,Metalcore,83,199.8
Roman,2021-09,Nu Metal,20,14.0
Roman,2021-09,Alternative Rock,5,0.0
Roman,2021-09,Pop Rock,1,3.1
Roman,2021-10,Other,1126,2181.4
Roman,2021-10,Metal,647,1931.2
Roman,2021-10,Rock,348,960.7
Roman,2021-10,Post-Grunge,72,112.9
Roman,2021-10,Nu Metal,32,59.9
Roman,2021-10,Metalcore,22,34.9
Roman,2021-10,Hard Rock,21,48.5
Roman,2021-10,Pop,1,0.0
Roman,2021-10,Pop Rock,1,1.0
Roman,2021-11,Other,1172,2633.4
Roman,2021-11,Metalcore,184,424.0
Roman,2021-11,Rock,117,306.7
Roman,2021-11,Metal,55,133.3
Roman,2021-11,Post-Grunge,36,73.2
Roman,2021-11,Hard Rock,4,8.8
Roman,2021-11,Nu Metal,4,3.5
Roman,2021-12,Other,1847,2126.2
Roman,2021-12,Rock,372,847.0
Roman,2021-12,Post-Grunge,294,504.6
Roman,2021-12,Metal,225,587.1
Roman,2021-12,Metalcore,92,122.1
Roman,2021-12,Nu Metal,28,12.1
Roman,2021-12,Pop Rock,17,0.8
Roman,2021-12,Hard Rock,13,16.7
Roman,2021-12,Pop,2,0.1
Roman,2021-12,K/J-Pop,1,0.0
Roman,2022-01,Other,265,386.7
Roman,2022-01,Rock,86,102.2
Roman,2022-01,Metalcore,43,58.7
Roman,2022-01,Metal,37,54.5
Roman,2022-01,Post-Grunge,14,17.5
Roman,2022-01,Nu Metal,3,1.8
Roman,2022-01,Hard Rock,2,2.2
Roman,2022-01,Pop Rock,2,0.0
Roman,2022-02,Other,1084,812.1
Roman,2022-02,Hard Rock,413,606.2
Roman,2022-02,Post-Grunge,63,56.1
Roman,2022-02,Metalcore,57,37.5
