owner,source,play_events,listens_over_30s,hours,unique_artists,unique_tracks,first_play,last_play,top_artist,top_devices
Or,apple,97000,56504,2802.1,1436,4103,2018-09-16,2026-05-22,Imagine Dragons,"IPHONE, FUSE, IPAD"
Roman,spotify,83003,58068,3490.7,4036,12766,2019-09-06,2026-05-10,Sleep Token,"windows, Android OS 9 API 28 (Xiaomi, Redmi Note 8), android"
