owner,year,weekday,hour_local,plays,pct_of_owner_year
Or,2019,Monday,13,28,0.15
Or,2019,Monday,14,60,0.32
Or,2019,Monday,15,130,0.69
Or,2019,Monday,16,157,0.84
Or,2019,Monday,17,70,0.37
Or,2019,Monday,18,109,0.58
Or,2019,Monday,19,110,0.59
Or,2019,Monday,20,56,0.3
Or,2019,Monday,21,34,0.18
Or,2019,Monday,22,24,0.13
Or,2019,Monday,23,4,0.02
Or,2019,Saturday,0,57,0.3
Or,2019,Saturday,1,1,0.01
Or,2019,Saturday,8,12,0.06
Or,2019,Saturday,9,26,0.14
Or,2019,Saturday,10,79,0.42
Or,2019,Saturday,11,174,0.93
Or,2019,Saturday,12,214,1.14
Or,2019,Saturday,13,225,1.2
Or,2019,Saturday,14,145,0.77
Or,2019,Saturday,15,283,1.51
Or,2019,Saturday,16,185,0.99
Or,2019,Saturday,17,242,1.29
Or,2019,Saturday,18,215,1.15
Or,2019,Saturday,19,273,1.46
Or,2019,Saturday,20,310,1.66
Or,2019,Saturday,21,187,1.0
Or,2019,Saturday,22,281,1.5
Or,2019,Saturday,23,34,0.18
Or,2019,Sunday,2,74,0.4
Or,2019,Sunday,3,39,0.21
Or,2019,Sunday,5,14,0.07
Or,2019,Sunday,6,186,0.99
Or,2019,Sunday,7,93,0.5
Or,2019,Sunday,8,197,1.05
Or,2019,Sunday,9,468,2.5
Or,2019,Sunday,10,277,1.48
Or,2019,Sunday,11,145,0.77
Or,2019,Sunday,12,119,0.64
Or,2019,Sunday,13,117,0.63
Or,2019,Sunday,14,84,0.45
Or,2019,Sunday,15,17,0.09
Or,2019,Sunday,16,163,0.87
Or,2019,Sunday,17,142,0.76
Or,2019,Sunday,18,121,0.65
Or,2019,Sunday,19,67,0.36
Or,2019,Sunday,20,123,0.66
Or,2019,Sunday,21,107,0.57
Or,2019,Sunday,22,50,0.27
Or,2019,Sunday,23,12,0.06
Or,2019,Thursday,4,4,0.02
Or,2019,Thursday,5,26,0.14
Or,2019,Thursday,6,1,0.01
Or,2019,Thursday,7,89,0.48
Or,2019,Thursday,8,338,1.81
Or,2019,Thursday,9,243,1.3
Or,2019,Thursday,10,187,1.0
Or,2019,Thursday,11,286,1.53
Or,2019,Thursday,12,264,1.41
Or,2019,Thursday,13,245,1.31
Or,2019,Thursday,14,443,2.37
Or,2019,Thursday,15,267,1.43
Or,2019,Thursday,16,221,1.18
Or,2019,Thursday,17,229,1.22
Or,2019,Thursday,18,230,1.23
Or,2019,Thursday,19,291,1.55
Or,2019,Thursday,20,220,1.18
Or,2019,Thursday,21,202,1.08
Or,2019,Thursday,22,118,0.63
Or,2019,Thursday,23,113,0.6
Or,2019,Tuesday,0,19,0.1
Or,2019,Tuesday,1,1,0.01
Or,2019,Tuesday,6,6,0.03
Or,2019,Tuesday,7,56,0.3
Or,2019,Tuesday,8,148,0.79
Or,2019,Tuesday,9,62,0.33
Or,2019,Tuesday,10,69,0.37
Or,2019,Tuesday,11,53,0.28
Or,2019,Tuesday,12,9,0.05
Or,2019,Tuesday,13,53,0.28
Or,2019,Tuesday,14,101,0.54
Or,2019,Tuesday,15,69,0.37
Or,2019,Tuesday,16,119,0.64
Or,2019,Tuesday,17,217,1.16
Or,2019,Tuesday,18,145,0.77
Or,2019,Tuesday,19,149,0.8
Or,2019,Tuesday,20,86,0.46
Or,2019,Tuesday,21,42,0.22
Or,2019,Tuesday,22,29,0.15
Or,2019,Tuesday,23,5,0.03
Or,2019,Wednesday,2,2,0.01
Or,2019,Wednesday,3,1,0.01
Or,2019,Wednesday,5,4,0.02
Or,2019,Wednesday,6,31,0.17
Or,2019,Wednesday,7,103,0.55
Or,2019,Wednesday,8,125,0.67
Or,2019,Wednesday,9,107,0.57
Or,2019,Wednesday,10,114,0.61
Or,2019,Wednesday,11,30,0.16
Or,2019,Wednesday,12,121,0.65
Or,2019,Wednesday,13,108,0.58
Or,2019,Wednesday,14,68,0.36
Or,2019,Wednesday,15,82,0.44
Or,2019,Wednesday,16,22,0.12
Or,2019,Wednesday,17,173,0.92
Or,2019,Wednesday,18,102,0.54
Or,2019,Wednesday,19,27,0.14
Or,2019,Wednesday,20,99,0.53
Or,2019,Wednesday,21,119,0.64
Or,2019,Wednesday,22,136,0.73
Or,2019,Wednesday,23,2,0.01
Or,2020,Friday,0,41,0.33
Or,2020,Friday,3,20,0.16
Or,2020,Friday,6,8,0.06
Or,2020,Friday,7,40,0.32
Or,2020,Friday,8,24,0.19
Or,2020,Friday,9,160,1.29
Or,2020,Friday,10,498,4.01
Or,2020,Friday,11,147,1.18
Or,2020,Friday,12,427,3.44
Or,2020,Friday,13,249,2.01
Or,2020,Friday,14,300,2.42
Or,2020,Friday,15,169,1.36
Or,2020,Friday,16,104,0.84
Or,2020,Friday,17,230,1.85
Or,2020,Friday,18,142,1.14
Or,2020,Friday,19,52,0.42
Or,2020,Friday,20,268,2.16
Or,2020,Friday,21,248,2.0
Or,2020,Friday,22,27,0.22
Or,2020,Friday,23,6,0.05
Or,2020,Monday,6,6,0.05
Or,2020,Monday,7,40,0.32
Or,2020,Monday,8,105,0.85
Or,2020,Monday,9,57,0.46
Or,2020,Monday,10,74,0.6
Or,2020,Monday,11,68,0.55
Or,2020,Monday,12,44,0.35
Or,2020,Monday,13,58,0.47
Or,2020,Monday,14,37,0.3
Or,2020,Monday,15,88,0.71
Or,2020,Monday,16,138,1.11
Or,2020,Monday,17,147,1.18
Or,2020,Monday,18,187,1.51
Or,2020,Monday,19,143,1.15
Or,2020,Monday,20,163,1.31
Or,2020,Monday,21,59,0.48
Or,2020,Monday,22,3,0.02
Or,2020,Monday,23,2,0.02
Or,2020,Saturday,0,16,0.13
Or,2020,Saturday,1,2,0.02
Or,2020,Saturday,6,20,0.16
Or,2020,Saturday,7,16,0.13
Or,2020,Saturday,9,42,0.34
Or,2020,Saturday,10,124,1.0
Or,2020,Saturday,11,82,0.66
Or,2020,Saturday,12,139,1.12
Or,2020,Saturday,13,173,1.39
Or,2020,Saturday,14,102,0.82
Or,2020,Saturday,15,208,1.68
Or,2020,Saturday,16,112,0.9
Or,2020,Saturday,17,97,0.78
Or,2020,Saturday,18,259,2.09
Or,2020,Saturday,19,228,1.84
Or,2020,Saturday,20,143,1.15
Or,2020,Saturday,21,112,0.9
Or,2020,Saturday,22,20,0.16
Or,2020,Sunday,0,8,0.06
Or,2020,Sunday,5,13,0.1
Or,2020,Sunday,6,15,0.12
Or,2020,Sunday,7,25,0.2
Or,2020,Sunday,8,161,1.3
Or,2020,Sunday,9,94,0.76
Or,2020,Sunday,10,97,0.78
Or,2020,Sunday,11,60,0.48
Or,2020,Sunday,12,67,0.54
Or,2020,Sunday,13,109,0.88
Or,2020,Sunday,14,59,0.48
Or,2020,Sunday,15,92,0.74
Or,2020,Sunday,16,113,0.91
Or,2020,Sunday,17,70,0.56
Or,2020,Sunday,18,71,0.57
Or,2020,Sunday,19,194,1.56
Or,2020,Sunday,20,133,1.07
Or,2020,Sunday,21,17,0.14
Or,2020,Sunday,22,4,0.03
Or,2020,Sunday,23,10,0.08
Or,2020,Thursday,1,1,0.01
Or,2020,Thursday,6,7,0.06
Or,2020,Thursday,7,70,0.56
Or,2020,Thursday,8,68,0.55
Or,2020,Thursday,9,70,0.56
Or,2020,Thursday,10,85,0.68
Or,2020,Thursday,11,68,0.55
Or,2020,Thursday,12,45,0.36
Or,2020,Thursday,13,156,1.26
Or,2020,Thursday,14,122,0.98
Or,2020,Thursday,15,144,1.16
Or,2020,Thursday,16,195,1.57
Or,2020,Thursday,17,124,1.0
Or,2020,Thursday,18,168,1.35
Or,2020,Thursday,19,245,1.97
Or,2020,Thursday,20,290,2.34
Or,2020,Thursday,21,125,1.01
Or,2020,Thursday,22,15,0.12
Or,2020,Thursday,23,70,0.56
Or,2020,Tuesday,0,2,0.02
Or,2020,Tuesday,6,29,0.23
Or,2020,Tuesday,7,41,0.33
Or,2020,Tuesday,8,56,0.45
Or,2020,Tuesday,9,64,0.52
Or,2020,Tuesday,10,77,0.62
Or,2020,Tuesday,11,28,0.23
Or,2020,Tuesday,12,81,0.65
Or,2020,Tuesday,13,59,0.48
Or,2020,Tuesday,14,105,0.85
Or,2020,Tuesday,15,48,0.39
Or,2020,Tuesday,16,68,0.55
Or,2020,Tuesday,17,98,0.79
Or,2020,Tuesday,18,39,0.31
Or,2020,Tuesday,19,61,0.49
Or,2020,Tuesday,20,36,0.29
Or,2020,Tuesday,21,57,0.46
Or,2020,Tuesday,22,10,0.08
Or,2020,Tuesday,23,48,0.39
Or,2020,Wednesday,7,67,0.54
Or,2020,Wednesday,8,124,1.0
Or,2020,Wednesday,9,49,0.39
Or,2020,Wednesday,10,98,0.79
Or,2020,Wednesday,11,32,0.26
Or,2020,Wednesday,12,92,0.74
Or,2020,Wednesday,13,59,0.48
Or,2020,Wednesday,14,52,0.42
Or,2020,Wednesday,15,78,0.63
Or,2020,Wednesday,16,130,1.05
Or,2020,Wednesday,17,93,0.75
Or,2020,Wednesday,18,156,1.26
Or,2020,Wednesday,19,168,1.35
Or,2020,Wednesday,20,140,1.13
Or,2020,Wednesday,21,63,0.51
Or,2020,Wednesday,22,51,0.41
Or,2020,Wednesday,23,1,0.01
Or,2021,Friday,0,5,0.04
Or,2021,Friday,6,41,0.34
Or,2021,Friday,7,214,1.79
Or,2021,Friday,8,354,2.96
Or,2021,Friday,9,479,4.0
Or,2021,Friday,10,237,1.98
Or,2021,Friday,11,335,2.8
Or,2021,Friday,12,539,4.5
Or,2021,Friday,13,294,2.45
Or,2021,Friday,14,201,1.68
Or,2021,Friday,15,124,1.04
Or,2021,Friday,16,159,1.33
Or,2021,Friday,17,149,1.24
Or,2021,Friday,18,34,0.28
Or,2021,Friday,19,67,0.56
Or,2021,Friday,20,143,1.19
Or,2021,Friday,21,131,1.09
Or,2021,Friday,22,50,0.42
Or,2021,Friday,23,3,0.03
Or,2021,Monday,0,80,0.67
Or,2021,Monday,1,11,0.09
Or,2021,Monday,6,40,0.33
Or,2021,Monday,7,193,1.61
Or,2021,Monday,8,200,1.67
Or,2021,Monday,9,87,0.73
Or,2021,Monday,10,180,1.5
Or,2021,Monday,11,80,0.67
Or,2021,Monday,12,87,0.73
Or,2021,Monday,13,99,0.83
Or,2021,Monday,14,55,0.46
Or,2021,Monday,15,93,0.78
Or,2021,Monday,16,145,1.21
Or,2021,Monday,17,153,1.28
Or,2021,Monday,18,69,0.58
Or,2021,Monday,19,83,0.69
Or,2021,Monday,20,149,1.24
Or,2021,Monday,21,28,0.23
Or,2021,Monday,22,6,0.05
Or,2021,Monday,23,10,0.08
Or,2021,Saturday,1,2,0.02
Or,2021,Saturday,6,4,0.03
Or,2021,Saturday,7,32,0.27
Or,2021,Saturday,8,51,0.43
Or,2021,Saturday,9,51,0.43
Or,2021,Saturday,10,16,0.13
Or,2021,Saturday,11,94,0.78
Or,2021,Saturday,12,43,0.36
Or,2021,Saturday,13,116,0.97
Or,2021,Saturday,14,88,0.73
Or,2021,Saturday,15,67,0.56
Or,2021,Saturday,16,67,0.56
Or,2021,Saturday,17,54,0.45
Or,2021,Saturday,18,77,0.64
Or,2021,Saturday,19,159,1.33
Or,2021,Saturday,20,82,0.68
Or,2021,Saturday,21,92,0.77
Or,2021,Saturday,22,80,0.67
Or,2021,Saturday,23,9,0.08
Or,2021,Sunday,1,1,0.01
Or,2021,Sunday,6,81,0.68
Or,2021,Sunday,7,117,0.98
Or,2021,Sunday,8,92,0.77
Or,2021,Sunday,9,63,0.53
Or,2021,Sunday,10,105,0.88
Or,2021,Sunday,11,35,0.29
Or,2021,Sunday,12,57,0.48
Or,2021,Sunday,13,83,0.69
Or,2021,Sunday,14,120,1.0
Or,2021,Sunday,15,74,0.62
Or,2021,Sunday,16,50,0.42
Or,2021,Sunday,17,41,0.34
Or,2021,Sunday,18,59,0.49
Or,2021,Sunday,19,128,1.07
Or,2021,Sunday,20,141,1.18
Or,2021,Sunday,21,34,0.28
Or,2021,Sunday,22,14,0.12
Or,2021,Sunday,23,26,0.22
