owner,year,weekday,hour_local,plays,pct_of_owner_year
Or,2023,Sunday,13,331,2.54
Or,2023,Sunday,14,108,0.83
Or,2023,Sunday,15,53,0.41
Or,2023,Sunday,16,27,0.21
Or,2023,Sunday,17,23,0.18
Or,2023,Sunday,18,65,0.5
Or,2023,Sunday,19,31,0.24
Or,2023,Sunday,20,20,0.15
Or,2023,Sunday,21,35,0.27
Or,2023,Sunday,22,5,0.04
Or,2023,Thursday,0,43,0.33
Or,2023,Thursday,1,81,0.62
Or,2023,Thursday,2,31,0.24
Or,2023,Thursday,6,6,0.05
Or,2023,Thursday,7,37,0.28
Or,2023,Thursday,8,134,1.03
Or,2023,Thursday,9,328,2.52
Or,2023,Thursday,10,192,1.47
Or,2023,Thursday,11,198,1.52
Or,2023,Thursday,12,80,0.61
Or,2023,Thursday,13,135,1.04
Or,2023,Thursday,14,39,0.3
Or,2023,Thursday,15,27,0.21
Or,2023,Thursday,16,43,0.33
Or,2023,Thursday,17,41,0.31
Or,2023,Thursday,18,66,0.51
Or,2023,Thursday,19,112,0.86
Or,2023,Thursday,20,62,0.48
Or,2023,Thursday,21,37,0.28
Or,2023,Thursday,22,27,0.21
Or,2023,Thursday,23,6,0.05
Or,2023,Tuesday,4,1,0.01
Or,2023,Tuesday,5,74,0.57
Or,2023,Tuesday,6,97,0.74
Or,2023,Tuesday,7,163,1.25
Or,2023,Tuesday,8,193,1.48
Or,2023,Tuesday,9,203,1.56
Or,2023,Tuesday,10,134,1.03
Or,2023,Tuesday,11,233,1.79
Or,2023,Tuesday,12,336,2.58
Or,2023,Tuesday,13,236,1.81
Or,2023,Tuesday,14,44,0.34
Or,2023,Tuesday,15,39,0.3
Or,2023,Tuesday,16,20,0.15
Or,2023,Tuesday,17,35,0.27
Or,2023,Tuesday,18,40,0.31
Or,2023,Tuesday,19,42,0.32
Or,2023,Tuesday,20,34,0.26
Or,2023,Tuesday,21,32,0.25
Or,2023,Tuesday,22,28,0.21
Or,2023,Tuesday,23,36,0.28
Or,2023,Wednesday,6,23,0.18
Or,2023,Wednesday,7,83,0.64
Or,2023,Wednesday,8,117,0.9
Or,2023,Wednesday,9,274,2.1
Or,2023,Wednesday,10,249,1.91
Or,2023,Wednesday,11,116,0.89
Or,2023,Wednesday,12,142,1.09
Or,2023,Wednesday,13,56,0.43
Or,2023,Wednesday,14,30,0.23
Or,2023,Wednesday,15,15,0.12
Or,2023,Wednesday,16,57,0.44
Or,2023,Wednesday,17,22,0.17
Or,2023,Wednesday,18,33,0.25
Or,2023,Wednesday,19,154,1.18
Or,2023,Wednesday,20,103,0.79
Or,2023,Wednesday,21,227,1.74
Or,2023,Wednesday,22,149,1.14
Or,2024,Friday,0,9,0.08
Or,2024,Friday,6,24,0.22
Or,2024,Friday,7,57,0.52
Or,2024,Friday,8,40,0.37
Or,2024,Friday,9,60,0.55
Or,2024,Friday,10,189,1.74
Or,2024,Friday,11,241,2.22
Or,2024,Friday,12,104,0.96
Or,2024,Friday,13,231,2.13
Or,2024,Friday,14,115,1.06
Or,2024,Friday,15,102,0.94
Or,2024,Friday,16,146,1.34
Or,2024,Friday,17,127,1.17
Or,2024,Friday,18,112,1.03
Or,2024,Friday,19,16,0.15
Or,2024,Friday,20,4,0.04
Or,2024,Friday,21,78,0.72
Or,2024,Friday,22,59,0.54
Or,2024,Friday,23,1,0.01
Or,2024,Monday,0,22,0.2
Or,2024,Monday,6,32,0.29
Or,2024,Monday,7,99,0.91
Or,2024,Monday,8,71,0.65
Or,2024,Monday,9,44,0.41
Or,2024,Monday,10,75,0.69
Or,2024,Monday,11,39,0.36
Or,2024,Monday,12,67,0.62
Or,2024,Monday,13,131,1.21
Or,2024,Monday,14,276,2.54
Or,2024,Monday,15,121,1.11
Or,2024,Monday,16,32,0.29
Or,2024,Monday,17,17,0.16
Or,2024,Monday,18,40,0.37
Or,2024,Monday,19,76,0.7
Or,2024,Monday,20,222,2.04
Or,2024,Monday,21,35,0.32
Or,2024,Monday,22,10,0.09
Or,2024,Monday,23,6,0.06
Or,2024,Saturday,5,7,0.06
Or,2024,Saturday,6,3,0.03
Or,2024,Saturday,7,4,0.04
Or,2024,Saturday,9,10,0.09
Or,2024,Saturday,10,49,0.45
Or,2024,Saturday,11,80,0.74
Or,2024,Saturday,12,54,0.5
Or,2024,Saturday,13,19,0.17
Or,2024,Saturday,14,21,0.19
Or,2024,Saturday,15,9,0.08
Or,2024,Saturday,16,52,0.48
Or,2024,Saturday,17,61,0.56
Or,2024,Saturday,18,66,0.61
Or,2024,Saturday,19,99,0.91
Or,2024,Saturday,20,66,0.61
Or,2024,Saturday,21,51,0.47
Or,2024,Saturday,22,43,0.4
Or,2024,Saturday,23,1,0.01
Or,2024,Sunday,5,4,0.04
Or,2024,Sunday,6,57,0.52
Or,2024,Sunday,7,136,1.25
Or,2024,Sunday,8,138,1.27
Or,2024,Sunday,9,66,0.61
Or,2024,Sunday,10,96,0.88
Or,2024,Sunday,11,189,1.74
Or,2024,Sunday,12,183,1.68
Or,2024,Sunday,13,185,1.7
Or,2024,Sunday,14,279,2.57
Or,2024,Sunday,15,65,0.6
Or,2024,Sunday,16,95,0.87
Or,2024,Sunday,17,130,1.2
Or,2024,Sunday,18,151,1.39
Or,2024,Sunday,19,199,1.83
Or,2024,Sunday,20,110,1.01
Or,2024,Sunday,21,32,0.29
Or,2024,Sunday,22,6,0.06
Or,2024,Sunday,23,29,0.27
Or,2024,Thursday,0,3,0.03
Or,2024,Thursday,1,31,0.29
Or,2024,Thursday,5,7,0.06
Or,2024,Thursday,6,11,0.1
Or,2024,Thursday,7,37,0.34
Or,2024,Thursday,8,57,0.52
Or,2024,Thursday,9,15,0.14
Or,2024,Thursday,10,57,0.52
Or,2024,Thursday,11,60,0.55
Or,2024,Thursday,12,79,0.73
Or,2024,Thursday,13,133,1.22
Or,2024,Thursday,14,195,1.79
Or,2024,Thursday,15,97,0.89
Or,2024,Thursday,16,89,0.82
Or,2024,Thursday,17,76,0.7
Or,2024,Thursday,18,79,0.73
Or,2024,Thursday,19,72,0.66
Or,2024,Thursday,20,164,1.51
Or,2024,Thursday,21,65,0.6
Or,2024,Thursday,22,36,0.33
Or,2024,Thursday,23,20,0.18
Or,2024,Tuesday,2,9,0.08
Or,2024,Tuesday,7,91,0.84
Or,2024,Tuesday,8,150,1.38
Or,2024,Tuesday,9,320,2.95
Or,2024,Tuesday,10,120,1.1
Or,2024,Tuesday,11,112,1.03
Or,2024,Tuesday,12,66,0.61
Or,2024,Tuesday,13,29,0.27
Or,2024,Tuesday,14,36,0.33
Or,2024,Tuesday,15,66,0.61
Or,2024,Tuesday,16,56,0.52
Or,2024,Tuesday,17,34,0.31
Or,2024,Tuesday,18,67,0.62
Or,2024,Tuesday,19,136,1.25
Or,2024,Tuesday,20,204,1.88
Or,2024,Tuesday,21,105,0.97
Or,2024,Tuesday,22,17,0.16
Or,2024,Tuesday,23,2,0.02
Or,2024,Wednesday,6,76,0.7
Or,2024,Wednesday,7,109,1.0
Or,2024,Wednesday,8,169,1.56
Or,2024,Wednesday,9,152,1.4
Or,2024,Wednesday,10,122,1.12
Or,2024,Wednesday,11,162,1.49
Or,2024,Wednesday,12,108,0.99
Or,2024,Wednesday,13,97,0.89
Or,2024,Wednesday,14,37,0.34
Or,2024,Wednesday,15,61,0.56
Or,2024,Wednesday,16,109,1.0
Or,2024,Wednesday,17,121,1.11
Or,2024,Wednesday,18,208,1.91
Or,2024,Wednesday,19,160,1.47
Or,2024,Wednesday,20,79,0.73
Or,2024,Wednesday,21,47,0.43
Or,2024,Wednesday,22,37,0.34
Or,2024,Wednesday,23,32,0.29
Or,2025,Friday,0,6,0.08
Or,2025,Friday,6,5,0.06
Or,2025,Friday,7,33,0.43
Or,2025,Friday,8,35,0.45
Or,2025,Friday,9,52,0.67
Or,2025,Friday,10,25,0.32
Or,2025,Friday,11,123,1.59
Or,2025,Friday,12,120,1.56
Or,2025,Friday,13,18,0.23
Or,2025,Friday,14,99,1.28
Or,2025,Friday,15,123,1.59
Or,2025,Friday,16,109,1.41
Or,2025,Friday,17,152,1.97
Or,2025,Friday,18,39,0.51
Or,2025,Friday,19,36,0.47
Or,2025,Friday,20,40,0.52
Or,2025,Friday,21,190,2.46
Or,2025,Friday,22,104,1.35
Or,2025,Friday,23,4,0.05
Or,2025,Monday,0,1,0.01
Or,2025,Monday,6,7,0.09
Or,2025,Monday,7,40,0.52
Or,2025,Monday,8,73,0.95
Or,2025,Monday,9,166,2.15
Or,2025,Monday,10,111,1.44
Or,2025,Monday,11,73,0.95
Or,2025,Monday,12,80,1.04
Or,2025,Monday,13,32,0.41
Or,2025,Monday,14,95,1.23
Or,2025,Monday,15,53,0.69
Or,2025,Monday,16,82,1.06
Or,2025,Monday,17,87,1.13
Or,2025,Monday,18,29,0.38
Or,2025,Monday,19,98,1.27
Or,2025,Monday,20,93,1.21
Or,2025,Monday,21,40,0.52
Or,2025,Monday,22,17,0.22
Or,2025,Monday,23,6,0.08
Or,2025,Saturday,9,15,0.19
Or,2025,Saturday,10,8,0.1
Or,2025,Saturday,11,41,0.53
Or,2025,Saturday,12,21,0.27
Or,2025,Saturday,13,11,0.14
Or,2025,Saturday,14,36,0.47
Or,2025,Saturday,15,14,0.18
Or,2025,Saturday,16,43,0.56
Or,2025,Saturday,17,55,0.71
Or,2025,Saturday,18,70,0.91
Or,2025,Saturday,19,10,0.13
Or,2025,Saturday,20,4,0.05
Or,2025,Saturday,21,29,0.38
Or,2025,Saturday,22,14,0.18
Or,2025,Sunday,5,4,0.05
Or,2025,Sunday,6,52,0.67
Or,2025,Sunday,7,112,1.45
Or,2025,Sunday,8,66,0.86
Or,2025,Sunday,9,84,1.09
Or,2025,Sunday,10,69,0.89
Or,2025,Sunday,11,111,1.44
Or,2025,Sunday,12,151,1.96
Or,2025,Sunday,13,72,0.93
Or,2025,Sunday,14,113,1.46
Or,2025,Sunday,15,32,0.41
Or,2025,Sunday,16,98,1.27
Or,2025,Sunday,17,76,0.98
Or,2025,Sunday,18,65,0.84
Or,2025,Sunday,19,64,0.83
Or,2025,Sunday,20,52,0.67
Or,2025,Sunday,21,19,0.25
Or,2025,Sunday,22,3,0.04
Or,2025,Thursday,6,58,0.75
Or,2025,Thursday,7,52,0.67
Or,2025,Thursday,8,78,1.01
Or,2025,Thursday,9,72,0.93
Or,2025,Thursday,10,32,0.41
Or,2025,Thursday,11,81,1.05
Or,2025,Thursday,12,52,0.67
Or,2025,Thursday,13,65,0.84
Or,2025,Thursday,14,38,0.49
Or,2025,Thursday,15,79,1.02
Or,2025,Thursday,16,50,0.65
Or,2025,Thursday,17,46,0.6
Or,2025,Thursday,18,57,0.74
Or,2025,Thursday,19,63,0.82
Or,2025,Thursday,20,48,0.62
Or,2025,Thursday,21,13,0.17
Or,2025,Thursday,22,1,0.01
Or,2025,Tuesday,6,17,0.22
Or,2025,Tuesday,7,94,1.22
Or,2025,Tuesday,8,197,2.55
Or,2025,Tuesday,9,95,1.23
Or,2025,Tuesday,10,222,2.88
Or,2025,Tuesday,11,123,1.59
Or,2025,Tuesday,12,87,1.13
Or,2025,Tuesday,13,99,1.28
Or,2025,Tuesday,14,56,0.73
Or,2025,Tuesday,15,23,0.3
Or,2025,Tuesday,16,60,0.78
Or,2025,Tuesday,17,32,0.41
Or,2025,Tuesday,18,17,0.22
Or,2025,Tuesday,19,77,1.0
Or,2025,Tuesday,20,45,0.58
Or,2025,Tuesday,21,22,0.29
Or,2025,Tuesday,22,11,0.14
Or,2025,Tuesday,23,8,0.1
Or,2025,Wednesday,6,48,0.62
Or,2025,Wednesday,7,218,2.82
Or,2025,Wednesday,8,160,2.07
Or,2025,Wednesday,9,63,0.82
Or,2025,Wednesday,10,40,0.52
Or,2025,Wednesday,11,57,0.74
Or,2025,Wednesday,12,97,1.26
Or,2025,Wednesday,13,100,1.3
Or,2025,Wednesday,14,64,0.83
Or,2025,Wednesday,15,104,1.35
Or,2025,Wednesday,16,46,0.6
Or,2025,Wednesday,17,85,1.1
Or,2025,Wednesday,18,117,1.52
Or,2025,Wednesday,19,120,1.56
Or,2025,Wednesday,20,48,0.62
Or,2025,Wednesday,21,48,0.62
Or,2025,Wednesday,22,1,0.01
Or,2025,Wednesday,23,21,0.27
Or,2026,Friday,0,4,0.1
Or,2026,Friday,8,15,0.38
Or,2026,Friday,10,14,0.35
Or,2026,Friday,11,22,0.55
Or,2026,Friday,12,47,1.18
Or,2026,Friday,13,69,1.74
Or,2026,Friday,14,56,1.41
Or,2026,Friday,15,73,1.84
Or,2026,Friday,16,43,1.08
Or,2026,Friday,17,63,1.58
Or,2026,Friday,18,66,1.66
Or,2026,Friday,19,12,0.3
Or,2026,Friday,20,31,0.78
Or,2026,Friday,21,187,4.7
Or,2026,Friday,22,112,2.82
Or,2026,Friday,23,3,0.08
Or,2026,Monday,7,49,1.23
Or,2026,Monday,8,34,0.86
Or,2026,Monday,9,11,0.28
Or,2026,Monday,10,25,0.63
Or,2026,Monday,11,43,1.08
Or,2026,Monday,12,73,1.84
Or,2026,Monday,13,22,0.55
Or,2026,Monday,14,2,0.05
Or,2026,Monday,15,8,0.2
Or,2026,Monday,16,6,0.15
Or,2026,Monday,17,9,0.23
Or,2026,Monday,18,20,0.5
Or,2026,Monday,19,98,2.47
Or,2026,Monday,20,20,0.5
Or,2026,Monday,21,16,0.4
Or,2026,Monday,22,15,0.38
Or,2026,Monday,23,4,0.1
Or,2026,Saturday,9,4,0.1
Or,2026,Saturday,10,22,0.55
Or,2026,Saturday,11,22,0.55
Or,2026,Saturday,12,40,1.01
Or,2026,Saturday,13,36,0.91
Or,2026,Saturday,14,12,0.3
Or,2026,Saturday,15,14,0.35
Or,2026,Saturday,16,12,0.3
Or,2026,Saturday,17,41,1.03
Or,2026,Saturday,18,103,2.59
Or,2026,Saturday,19,49,1.23
Or,2026,Saturday,20,34,0.86
Or,2026,Saturday,21,31,0.78
Or,2026,Saturday,22,44,1.11
Or,2026,Sunday,8,6,0.15
Or,2026,Sunday,9,13,0.33
Or,2026,Sunday,10,18,0.45
Or,2026,Sunday,11,18,0.45
Or,2026,Sunday,12,45,1.13
Or,2026,Sunday,13,28,0.7
Or,2026,Sunday,14,15,0.38
Or,2026,Sunday,15,34,0.86
Or,2026,Sunday,16,35,0.88
Or,2026,Sunday,17,72,1.81
Or,2026,Sunday,18,20,0.5
Or,2026,Sunday,19,31,0.78
Or,2026,Sunday,20,46,1.16
Or,2026,Sunday,22,14,0.35
Or,2026,Thursday,6,8,0.2
Or,2026,Thursday,7,42,1.06
Or,2026,Thursday,8,11,0.28
Or,2026,Thursday,9,52,1.31
Or,2026,Thursday,10,46,1.16
Or,2026,Thursday,11,28,0.7
Or,2026,Thursday,12,56,1.41
Or,2026,Thursday,13,36,0.91
Or,2026,Thursday,14,74,1.86
Or,2026,Thursday,15,33,0.83
Or,2026,Thursday,16,14,0.35
Or,2026,Thursday,17,58,1.46
Or,2026,Thursday,18,78,1.96
Or,2026,Thursday,19,13,0.33
Or,2026,Thursday,20,34,0.86
Or,2026,Thursday,21,20,0.5
Or,2026,Thursday,22,23,0.58
Or,2026,Thursday,23,22,0.55
Or,2026,Tuesday,7,46,1.16
Or,2026,Tuesday,8,62,1.56
Or,2026,Tuesday,9,38,0.96
Or,2026,Tuesday,10,59,1.48
Or,2026,Tuesday,11,53,1.33
Or,2026,Tuesday,12,52,1.31
Or,2026,Tuesday,13,39,0.98
Or,2026,Tuesday,14,45,1.13
Or,2026,Tuesday,15,41,1.03
Or,2026,Tuesday,16,54,1.36
Or,2026,Tuesday,18,11,0.28
Or,2026,Tuesday,19,22,0.55
Or,2026,Tuesday,20,2,0.05
Or,2026,Wednesday,7,24,0.6
Or,2026,Wednesday,8,25,0.63
Or,2026,Wednesday,9,65,1.64
Or,2026,Wednesday,10,55,1.38
Or,2026,Wednesday,11,58,1.46
Or,2026,Wednesday,12,52,1.31
Or,2026,Wednesday,13,52,1.31
Or,2026,Wednesday,14,55,1.38
Or,2026,Wednesday,15,21,0.53
Or,2026,Wednesday,16,16,0.4
Or,2026,Wednesday,17,48,1.21
Or,2026,Wednesday,18,60,1.51
Or,2026,Wednesday,19,37,0.93
Or,2026,Wednesday,20,44,1.11
Or,2026,Wednesday,21,3,0.08
Or,2026,Wednesday,22,27,0.68
Or,2026,Wednesday,23,30,0.75
Roman,2019,Friday,9,7,0.48
Roman,2019,Friday,10,80,5.46
Roman,2019,Friday,11,2,0.14
Roman,2019,Friday,12,62,4.23
Roman,2019,Friday,13,41,2.8
Roman,2019,Friday,14,24,1.64
Roman,2019,Friday,16,15,1.02
Roman,2019,Friday,17,30,2.05
Roman,2019,Friday,18,6,0.41
Roman,2019,Monday,10,1,0.07
Roman,2019,Monday,11,39,2.66
Roman,2019,Monday,12,10,0.68
Roman,2019,Monday,13,19,1.3
Roman,2019,Monday,15,60,4.1
Roman,2019,Monday,16,54,3.69
Roman,2019,Monday,17,3,0.2
Roman,2019,Saturday,19,12,0.82
Roman,2019,Saturday,20,31,2.12
Roman,2019,Saturday,21,22,1.5
Roman,2019,Saturday,22,15,1.02
Roman,2019,Saturday,23,1,0.07
Roman,2019,Sunday,8,35,2.39
Roman,2019,Sunday,9,21,1.43
Roman,2019,Sunday,11,24,1.64
Roman,2019,Sunday,14,2,0.14
Roman,2019,Sunday,16,3,0.2
Roman,2019,Thursday,6,2,0.14
Roman,2019,Thursday,7,2,0.14
Roman,2019,Thursday,10,16,1.09
Roman,2019,Thursday,11,14,0.96
Roman,2019,Thursday,12,26,1.78
Roman,2019,Thursday,13,72,4.92
Roman,2019,Thursday,14,141,9.63
Roman,2019,Thursday,15,41,2.8
Roman,2019,Thursday,16,31,2.12
Roman,2019,Thursday,17,8,0.55
Roman,2019,Thursday,18,4,0.27
Roman,2019,Thursday,20,5,0.34
Roman,2019,Thursday,21,8,0.55
Roman,2019,Thursday,22,60,4.1
Roman,2019,Tuesday,8,8,0.55
Roman,2019,Tuesday,9,20,1.37
Roman,2019,Tuesday,10,25,1.71
Roman,2019,Tuesday,11,12,0.82
Roman,2019,Tuesday,15,1,0.07
Roman,2019,Tuesday,16,3,0.2
Roman,2019,Tuesday,19,8,0.55
Roman,2019,Tuesday,21,10,0.68
Roman,2019,Tuesday,22,18,1.23
Roman,2019,Wednesday,8,1,0.07
Roman,2019,Wednesday,9,62,4.23
Roman,2019,Wednesday,10,75,5.12
Roman,2019,Wednesday,11,25,1.71
Roman,2019,Wednesday,13,12,0.82
Roman,2019,Wednesday,18,13,0.89
Roman,2019,Wednesday,19,24,1.64
Roman,2019,Wednesday,20,41,2.8
Roman,2019,Wednesday,21,28,1.91
Roman,2019,Wednesday,22,29,1.98
Roman,2020,Friday,2,10,0.35
Roman,2020,Friday,7,1,0.04
Roman,2020,Friday,10,22,0.77
Roman,2020,Friday,11,30,1.05
Roman,2020,Friday,12,37,1.3
Roman,2020,Friday,13,11,0.39
Roman,2020,Friday,14,45,1.58
Roman,2020,Friday,15,33,1.16
Roman,2020,Friday,16,51,1.79
Roman,2020,Friday,17,88,3.09
Roman,2020,Friday,18,19,0.67
Roman,2020,Friday,19,14,0.49
Roman,2020,Friday,22,1,0.04
Roman,2020,Monday,6,3,0.11
Roman,2020,Monday,7,16,0.56
Roman,2020,Monday,8,11,0.39
Roman,2020,Monday,9,14,0.49
Roman,2020,Monday,10,1,0.04
Roman,2020,Monday,11,20,0.7
Roman,2020,Monday,12,2,0.07
Roman,2020,Monday,13,26,0.91
Roman,2020,Monday,14,39,1.37
Roman,2020,Monday,15,54,1.9
Roman,2020,Monday,16,49,1.72
Roman,2020,Monday,17,53,1.86
Roman,2020,Monday,18,14,0.49
Roman,2020,Monday,19,21,0.74
Roman,2020,Monday,20,22,0.77
Roman,2020,Monday,21,16,0.56
Roman,2020,Monday,22,20,0.7
Roman,2020,Monday,23,7,0.25
Roman,2020,Saturday,11,2,0.07
Roman,2020,Saturday,12,12,0.42
Roman,2020,Saturday,13,1,0.04
Roman,2020,Saturday,14,2,0.07
Roman,2020,Saturday,18,12,0.42
Roman,2020,Saturday,19,5,0.18
Roman,2020,Saturday,20,17,0.6
Roman,2020,Saturday,21,26,0.91
Roman,2020,Saturday,22,49,1.72
Roman,2020,Saturday,23,75,2.64
Roman,2020,Sunday,0,2,0.07
Roman,2020,Sunday,7,11,0.39
Roman,2020,Sunday,8,19,0.67
Roman,2020,Sunday,9,41,1.44
Roman,2020,Sunday,10,84,2.95
Roman,2020,Sunday,11,40,1.41
Roman,2020,Sunday,12,9,0.32
Roman,2020,Sunday,13,48,1.69
Roman,2020,Sunday,14,75,2.64
Roman,2020,Sunday,15,89,3.13
Roman,2020,Sunday,16,96,3.38
Roman,2020,Sunday,17,61,2.14
Roman,2020,Sunday,18,13,0.46
Roman,2020,Sunday,19,2,0.07
Roman,2020,Sunday,20,18,0.63
Roman,2020,Sunday,21,3,0.11
Roman,2020,Sunday,22,19,0.67
Roman,2020,Sunday,23,2,0.07
Roman,2020,Thursday,6,17,0.6
Roman,2020,Thursday,7,46,1.62
Roman,2020,Thursday,8,44,1.55
Roman,2020,Thursday,9,12,0.42
Roman,2020,Thursday,10,29,1.02
Roman,2020,Thursday,11,38,1.34
Roman,2020,Thursday,12,72,2.53
Roman,2020,Thursday,13,46,1.62
Roman,2020,Thursday,14,63,2.22
Roman,2020,Thursday,15,41,1.44
Roman,2020,Thursday,16,50,1.76
Roman,2020,Thursday,17,12,0.42
Roman,2020,Thursday,18,14,0.49
Roman,2020,Thursday,19,82,2.88
Roman,2020,Thursday,20,60,2.11
Roman,2020,Thursday,21,27,0.95
Roman,2020,Thursday,22,32,1.13
Roman,2020,Thursday,23,12,0.42
Roman,2020,Tuesday,7,1,0.04
Roman,2020,Tuesday,8,22,0.77
Roman,2020,Tuesday,9,6,0.21
Roman,2020,Tuesday,10,9,0.32
Roman,2020,Tuesday,11,10,0.35
Roman,2020,Tuesday,12,1,0.04
Roman,2020,Tuesday,13,28,0.98
Roman,2020,Tuesday,14,9,0.32
Roman,2020,Tuesday,15,25,0.88
Roman,2020,Tuesday,16,145,5.1
Roman,2020,Tuesday,17,74,2.6
Roman,2020,Tuesday,18,8,0.28
Roman,2020,Tuesday,19,6,0.21
Roman,2020,Tuesday,20,23,0.81
Roman,2020,Tuesday,21,6,0.21
Roman,2020,Tuesday,22,16,0.56
Roman,2020,Tuesday,23,19,0.67
Roman,2020,Wednesday,5,1,0.04
Roman,2020,Wednesday,6,27,0.95
Roman,2020,Wednesday,8,19,0.67
Roman,2020,Wednesday,10,4,0.14
Roman,2020,Wednesday,13,1,0.04
Roman,2020,Wednesday,15,10,0.35
Roman,2020,Wednesday,16,1,0.04
Roman,2020,Wednesday,17,25,0.88
Roman,2020,Wednesday,19,7,0.25
Roman,2020,Wednesday,20,5,0.18
Roman,2020,Wednesday,21,10,0.35
Roman,2020,Wednesday,22,29,1.02
Roman,2020,Wednesday,23,17,0.6
Roman,2021,Friday,0,45,0.29
Roman,2021,Friday,8,49,0.32
Roman,2021,Friday,9,64,0.42
Roman,2021,Friday,10,201,1.31
Roman,2021,Friday,11,303,1.98
Roman,2021,Friday,12,221,1.45
Roman,2021,Friday,13,138,0.9
Roman,2021,Friday,14,119,0.78
Roman,2021,Friday,15,75,0.49
Roman,2021,Friday,16,116,0.76
Roman,2021,Friday,17,339,2.22
Roman,2021,Friday,18,322,2.11
Roman,2021,Friday,19,354,2.32
Roman,2021,Friday,20,173,1.13
Roman,2021,Friday,21,120,0.78
Roman,2021,Friday,22,43,0.28
Roman,2021,Friday,23,2,0.01
Roman,2021,Monday,7,10,0.07
Roman,2021,Monday,8,46,0.3
Roman,2021,Monday,9,126,0.82
Roman,2021,Monday,10,85,0.56
Roman,2021,Monday,11,52,0.34
Roman,2021,Monday,12,58,0.38
Roman,2021,Monday,13,83,0.54
Roman,2021,Monday,14,161,1.05
Roman,2021,Monday,15,208,1.36
Roman,2021,Monday,16,84,0.55
Roman,2021,Monday,17,75,0.49
Roman,2021,Monday,18,194,1.27
Roman,2021,Monday,19,68,0.44
Roman,2021,Monday,20,96,0.63
Roman,2021,Monday,21,40,0.26
Roman,2021,Monday,22,47,0.31
Roman,2021,Monday,23,59,0.39
Roman,2021,Saturday,0,31,0.2
Roman,2021,Saturday,1,7,0.05
Roman,2021,Saturday,8,4,0.03
Roman,2021,Saturday,9,26,0.17
Roman,2021,Saturday,10,82,0.54
Roman,2021,Saturday,11,303,1.98
Roman,2021,Saturday,12,166,1.09
Roman,2021,Saturday,13,101,0.66
Roman,2021,Saturday,14,113,0.74
Roman,2021,Saturday,15,119,0.78
Roman,2021,Saturday,16,112,0.73
Roman,2021,Saturday,17,94,0.61
Roman,2021,Saturday,18,114,0.75
Roman,2021,Saturday,19,120,0.78
Roman,2021,Saturday,20,157,1.03
Roman,2021,Saturday,21,127,0.83
Roman,2021,Saturday,22,103,0.67
Roman,2021,Saturday,23,67,0.44
Roman,2021,Sunday,0,21,0.14
Roman,2021,Sunday,6,14,0.09
Roman,2021,Sunday,7,143,0.94
Roman,2021,Sunday,8,225,1.47
Roman,2021,Sunday,9,381,2.49
Roman,2021,Sunday,10,397,2.6
Roman,2021,Sunday,11,207,1.35
Roman,2021,Sunday,12,176,1.15
Roman,2021,Sunday,13,88,0.58
Roman,2021,Sunday,14,171,1.12
Roman,2021,Sunday,15,189,1.24
Roman,2021,Sunday,16,97,0.63
Roman,2021,Sunday,17,87,0.57
Roman,2021,Sunday,18,207,1.35
Roman,2021,Sunday,19,138,0.9
Roman,2021,Sunday,20,156,1.02
Roman,2021,Sunday,21,73,0.48
Roman,2021,Sunday,22,34,0.22
Roman,2021,Sunday,23,9,0.06
Roman,2021,Thursday,0,19,0.12
Roman,2021,Thursday,1,18,0.12
Roman,2021,Thursday,2,17,0.11
Roman,2021,Thursday,3,18,0.12
Roman,2021,Thursday,4,17,0.11
Roman,2021,Thursday,5,18,0.12
Roman,2021,Thursday,6,24,0.16
Roman,2021,Thursday,7,17,0.11
Roman,2021,Thursday,8,37,0.24
Roman,2021,Thursday,9,69,0.45
Roman,2021,Thursday,10,68,0.44
Roman,2021,Thursday,11,138,0.9
Roman,2021,Thursday,12,253,1.65
Roman,2021,Thursday,13,269,1.76
Roman,2021,Thursday,14,263,1.72
Roman,2021,Thursday,15,251,1.64
Roman,2021,Thursday,16,195,1.28
Roman,2021,Thursday,17,101,0.66
Roman,2021,Thursday,18,273,1.79
Roman,2021,Thursday,19,157,1.03
Roman,2021,Thursday,20,86,0.56
Roman,2021,Thursday,21,84,0.55
Roman,2021,Thursday,22,50,0.33
Roman,2021,Thursday,23,32,0.21
Roman,2021,Tuesday,6,14,0.09
Roman,2021,Tuesday,7,85,0.56
Roman,2021,Tuesday,8,149,0.97
Roman,2021,Tuesday,9,110,0.72
Roman,2021,Tuesday,10,109,0.71
Roman,2021,Tuesday,11,95,0.62
Roman,2021,Tuesday,12,59,0.39
Roman,2021,Tuesday,13,113,0.74
Roman,2021,Tuesday,14,180,1.18
Roman,2021,Tuesday,15,194,1.27
Roman,2021,Tuesday,16,173,1.13
Roman,2021,Tuesday,17,149,0.97
Roman,2021,Tuesday,18,126,0.82
Roman,2021,Tuesday,19,73,0.48
Roman,2021,Tuesday,20,124,0.81
Roman,2021,Tuesday,21,98,0.64
Roman,2021,Tuesday,22,18,0.12
Roman,2021,Tuesday,23,39,0.26
Roman,2021,Wednesday,6,3,0.02
Roman,2021,Wednesday,7,36,0.24
Roman,2021,Wednesday,8,28,0.18
Roman,2021,Wednesday,9,175,1.14
Roman,2021,Wednesday,10,142,0.93
Roman,2021,Wednesday,11,270,1.77
Roman,2021,Wednesday,12,181,1.18
Roman,2021,Wednesday,13,163,1.07
